product_id,base_cost,competitor_price,sales_last_30_days
widget_1,6.3,9.62,1366
widget_2,110.94,174.01,3775
widget_3,65.83,155.87,456
widget_4,75.69,130.65,473
widget_5,15.85,37.24,1972
widget_6,92.81,204.55,789
widget_7,20.91,45.75,4202
widget_8,46.29,60.01,2922
widget_9,127.58,301.65,2996
widget_10,144.79,300.04,1626
widget_11,24.4,59.82,279
widget_12,40.05,84.79,2256
widget_13,118.03,207.41,4163
widget_14,58.64,120.5,1958
widget_15,20.91,25.72,4483
widget_16,58.17,86.16,1405
widget_17,79.96,105.11,3680
widget_18,92.4,215.06,4688
widget_19,107.83,165.62,1044
widget_20,46.1,58.74,4845
widget_21,58.07,107.15,1176
widget_22,111.08,171.65,2318
widget_23,110.47,243.92,1330
widget_24,45.67,97.25,314
widget_25,148.29,269.67,576
widget_26,32.79,53.15,2797
widget_27,71.57,110.46,1819
widget_28,146.64,318.46,756
widget_29,21.87,53.24,2192
widget_30,50.31,97.55,4976
widget_31,111.26,196.68,3266
widget_32,20.76,41.15,205
widget_33,42.15,97.48,1317
widget_34,94.08,138.27,900
widget_35,73.43,108.86,1180
widget_36,16.84,32.76,1102
widget_37,103.94,203.97,412
widget_38,140.66,333.96,270
widget_39,49.01,85.48,4109
widget_40,122.98,260.89,1627
widget_41,28.69,48.98,3657
widget_42,78.32,186.94,3631
widget_43,113.88,212.32,1514
widget_44,84.41,153.23,4818
widget_45,119.95,179.0,1267
widget_46,100.23,247.05,2119
widget_47,140.79,300.05,791
widget_48,19.34,36.71,4423
widget_49,123.53,226.91,1212
widget_50,38.02,75.38,2959
widget_51,17.43,27.58,522
widget_52,137.19,229.99,3197
widget_53,52.5,113.04,2671
widget_54,73.84,136.82,275
widget_55,136.76,303.7,212
widget_56,70.33,147.54,4162
widget_57,5.71,6.91,4510
widget_58,64.97,90.67,4363
widget_59,89.08,216.07,4991
widget_60,149.3,255.7,3696
widget_61,21.04,40.75,4557
widget_62,43.92,54.93,2330
widget_63,121.48,246.12,103
widget_64,42.42,89.23,1284
widget_65,78.41,106.86,4211
widget_66,35.63,79.24,880
widget_67,86.73,196.23,671
widget_68,117.49,198.57,3070
widget_69,39.99,75.06,1306
widget_70,129.82,242.47,3317
widget_71,62.86,156.34,1332
widget_72,119.49,264.78,4217
widget_73,53.52,72.31,3118
widget_74,75.89,184.44,729
widget_75,17.41,20.89,3326
widget_76,69.79,112.07,4111
widget_77,14.21,34.69,3589
widget_78,6.24,10.93,3994
widget_79,19.54,37.91,3118
widget_80,144.48,347.52,1485
widget_81,126.13,185.1,3634
widget_82,117.57,252.31,235
widget_83,14.35,21.53,4066
widget_84,7.6,9.6,1415
widget_85,84.87,191.55,3287
widget_86,84.48,113.82,2435
widget_87,27.56,53.73,3921
widget_88,42.8,54.24,2719
widget_89,128.95,230.16,4129
widget_90,28.41,42.51,914
widget_91,109.74,174.47,2849
widget_92,7.03,10.24,3311
widget_93,55.79,79.49,1293
widget_94,42.2,69.72,1644
widget_95,45.49,64.08,2215
widget_96,6.49,12.72,1365
widget_97,15.5,22.98,115
widget_98,60.12,134.08,3719
widget_99,67.29,159.38,2329
widget_100,83.9,139.89,372
widget_101,111.91,163.13,2534
widget_102,115.12,195.54,1857
widget_103,127.05,265.17,2154
widget_104,16.12,19.67,2428
widget_105,13.36,24.66,3508
widget_106,68.57,157.56,1458
widget_107,35.52,72.72,4530
widget_108,18.52,38.12,2054
widget_109,143.84,258.71,4285
widget_110,135.55,203.07,2744
widget_111,28.39,44.53,4999
widget_112,39.04,80.26,2147
widget_113,34.35,60.7,2919
widget_114,138.4,297.83,797
widget_115,97.05,155.56,2292
widget_116,27.42,52.64,4025
widget_117,77.0,132.42,415
widget_118,99.33,228.48,3535
widget_119,65.25,142.45,2083
widget_120,115.24,259.99,4298
widget_121,134.65,257.67,244
widget_122,36.23,55.1,4577
widget_123,8.29,16.21,3941
widget_124,131.5,289.05,597
widget_125,37.14,80.57,1204
widget_126,149.32,223.97,2109
widget_127,144.92,238.61,4103
widget_128,38.57,95.93,4578
widget_129,109.03,182.46,537
widget_130,40.35,78.64,180
widget_131,34.11,71.85,2367
widget_132,72.25,92.62,1110
widget_133,118.81,188.59,3539
widget_134,125.84,296.5,1996
widget_135,96.76,207.26,3127
widget_136,138.43,218.0,1105
widget_137,116.98,239.54,4477
widget_138,56.17,70.45,2878
widget_139,41.53,54.49,1600
widget_140,103.82,185.75,2042
widget_141,25.03,39.7,4902
widget_142,147.28,294.71,2771
widget_143,9.56,13.25,2983
widget_144,7.54,9.1,2431
widget_145,39.51,54.31,2194
widget_146,132.28,195.99,707
widget_147,94.81,179.03,4410
widget_148,49.11,114.33,956
widget_149,55.26,112.62,3656
widget_150,116.79,256.42,153
widget_151,6.31,12.11,3492
widget_152,109.4,159.05,4115
widget_153,143.76,349.4,169
widget_154,60.79,139.55,3418
widget_155,91.87,193.36,2548
widget_156,5.34,11.97,1005
widget_157,97.53,215.26,2265
widget_158,98.8,244.97,1891
widget_159,18.96,27.04,1967
widget_160,127.45,197.06,3127
widget_161,91.99,204.35,3238
widget_162,21.09,52.15,4161
widget_163,41.92,89.54,4544
widget_164,56.24,111.46,2287
widget_165,110.83,228.49,1780
widget_166,138.07,334.78,3041
widget_167,104.78,165.73,1846
widget_168,134.33,331.86,3097
widget_169,108.74,208.28,1282
widget_170,68.88,113.94,3744
widget_171,13.26,19.07,1813
widget_172,96.01,218.31,1295
widget_173,110.52,142.78,948
widget_174,133.41,323.47,2128
widget_175,24.55,33.91,1695
widget_176,33.03,73.87,3677
widget_177,51.97,117.47,793
widget_178,17.99,24.27,1978
widget_179,16.72,22.0,4896
widget_180,40.41,96.89,4158
widget_181,131.26,261.72,2105
widget_182,117.74,268.59,713
widget_183,74.31,132.26,294
widget_184,21.54,45.59,1982
widget_185,148.85,286.01,2667
widget_186,24.55,50.07,1186
widget_187,37.7,48.42,2071
widget_188,95.94,137.95,3663
widget_189,101.15,245.28,2318
widget_190,82.76,200.53,4970
widget_191,52.25,80.58,2015
widget_192,78.62,126.67,4467
widget_193,94.02,129.42,3238
widget_194,77.69,192.79,3777
widget_195,31.39,71.64,2917
widget_196,125.3,163.83,3615
widget_197,39.98,99.16,442
widget_198,91.24,181.42,2703
widget_199,10.4,12.66,2674
widget_200,90.12,126.11,552
widget_201,84.9,169.67,504
widget_202,22.51,27.3,297
widget_203,112.57,189.83,3311
widget_204,94.42,227.56,2951
widget_205,9.05,15.15,2468
widget_206,126.42,190.68,3509
widget_207,97.98,168.96,2549
widget_208,100.0,158.07,907
widget_209,108.26,183.42,4137
widget_210,84.34,139.94,4980
widget_211,141.68,292.07,1907
widget_212,124.24,228.15,672
widget_213,59.3,136.22,4652
widget_214,76.76,97.29,1203
widget_215,43.89,88.18,1424
widget_216,47.54,77.85,605
widget_217,86.5,114.29,1927
widget_218,15.39,30.82,220
widget_219,96.49,144.07,429
widget_220,139.76,336.15,1955
widget_221,77.31,180.2,1491
widget_222,91.19,150.37,379
widget_223,77.62,136.78,4279
widget_224,68.52,119.03,2372
widget_225,118.4,171.56,2273
widget_226,70.86,96.46,1154
widget_227,57.39,95.39,3050
widget_228,134.46,302.97,1967
widget_229,51.94,83.05,4520
widget_230,74.48,105.56,3473
widget_231,43.48,66.75,359
widget_232,58.68,102.83,1099
widget_233,39.37,74.86,3123
widget_234,120.82,195.64,2151
widget_235,112.42,245.89,688
widget_236,56.39,118.09,3880
widget_237,104.7,156.05,4837
widget_238,41.49,54.42,267
widget_239,124.0,275.93,185
widget_240,44.14,68.46,1582
widget_241,46.57,90.98,1019
widget_242,101.76,199.25,2625
widget_243,57.27,79.08,3239
widget_244,80.34,181.95,2858
widget_245,139.45,211.23,1642
widget_246,32.15,78.4,4861
widget_247,46.39,110.14,4565
widget_248,19.94,38.0,102
widget_249,59.02,108.6,2875
widget_250,38.57,87.1,2181
widget_251,20.52,25.27,2562
widget_252,14.92,19.3,4820
widget_253,77.55,118.36,1145
widget_254,106.71,134.22,2218
widget_255,116.47,164.68,1019
widget_256,64.18,129.93,1369
widget_257,26.49,52.99,2912
widget_258,12.89,21.11,996
widget_259,26.33,44.64,2259
widget_260,26.07,61.21,2022
widget_261,6.12,13.44,2511
widget_262,79.88,182.94,1982
widget_263,107.74,197.57,3638
widget_264,69.86,84.2,2061
widget_265,8.97,20.17,1460
widget_266,37.01,92.52,3584
widget_267,32.49,72.87,3347
widget_268,67.21,83.67,3708
widget_269,70.56,166.49,3603
widget_270,103.6,151.0,4488
widget_271,72.8,104.33,963
widget_272,48.22,119.13,360
widget_273,11.51,26.43,3320
widget_274,102.74,210.34,2850
widget_275,52.51,128.91,4961
widget_276,133.56,214.28,4932
widget_277,131.24,287.58,1964
widget_278,51.86,117.17,3029
widget_279,116.84,173.44,3538
widget_280,14.98,24.45,3772
widget_281,81.53,98.31,2715
widget_282,49.05,99.69,1080
widget_283,83.16,136.39,1873
widget_284,116.84,185.55,1594
widget_285,74.6,116.96,967
widget_286,81.33,158.48,3028
widget_287,63.78,146.04,1912
widget_288,13.73,23.85,2016
widget_289,102.11,219.86,3110
widget_290,57.26,140.53,3627
widget_291,12.02,16.19,3612
widget_292,36.8,44.73,1559
widget_293,116.11,283.94,3450
widget_294,49.34,102.53,406
widget_295,116.54,187.56,2629
widget_296,63.46,82.14,1992
widget_297,61.16,134.92,4894
widget_298,78.4,172.78,3582
widget_299,10.25,16.1,1423
widget_300,68.9,126.33,965
widget_301,38.68,72.38,4167
widget_302,94.44,117.49,990
widget_303,85.98,144.53,425
widget_304,126.78,221.11,2450
widget_305,69.62,130.1,1832
widget_306,134.16,170.11,1978
widget_307,67.34,88.22,4710
widget_308,5.78,7.97,911
widget_309,58.24,137.24,168
widget_310,116.6,173.16,4203
widget_311,116.85,254.69,523
widget_312,58.93,97.46,1553
widget_313,8.77,19.15,894
widget_314,129.35,310.83,2124
widget_315,127.42,231.75,4201
widget_316,64.29,105.64,952
widget_317,23.83,51.03,3814
widget_318,84.27,101.34,3869
widget_319,146.03,224.43,131
widget_320,104.49,201.94,2010
widget_321,27.38,40.2,711
widget_322,125.2,296.49,1191
widget_323,118.06,211.78,4539
widget_324,5.79,12.57,3864
widget_325,27.22,56.87,2828
widget_326,21.72,39.26,3786
widget_327,114.59,263.55,635
widget_328,97.35,216.94,3081
widget_329,119.49,183.3,4298
widget_330,141.73,248.18,4845
widget_331,137.15,248.32,3167
widget_332,133.13,282.83,1894
widget_333,39.84,71.64,2241
widget_334,149.78,202.09,4819
widget_335,124.12,200.62,1776
widget_336,112.48,209.03,3677
widget_337,122.83,218.22,913
widget_338,61.38,145.98,2199
widget_339,18.61,37.17,4120
widget_340,115.01,222.15,2217
widget_341,139.22,268.3,3856
widget_342,28.46,45.64,2639
widget_343,117.2,252.45,1815
widget_344,109.24,246.28,4956
widget_345,26.03,48.69,720
widget_346,146.43,311.32,4884
widget_347,149.91,304.12,967
widget_348,9.14,21.54,4816
widget_349,104.1,188.36,4795
widget_350,139.26,202.43,1707
widget_351,99.45,159.78,3969
widget_352,132.05,322.99,2893
widget_353,42.14,88.63,2613
widget_354,125.75,246.72,4912
widget_355,66.9,119.95,2003
widget_356,115.25,175.39,1716
widget_357,55.44,108.16,4761
widget_358,121.81,170.15,2627
widget_359,18.57,28.48,1220
widget_360,89.45,139.44,4463
widget_361,113.5,243.11,4541
widget_362,81.95,168.78,1404
widget_363,102.01,160.68,3619
widget_364,39.94,96.53,866
widget_365,11.21,15.21,2100
widget_366,143.18,349.97,4899
widget_367,55.73,113.53,1418
widget_368,14.74,33.73,3606
widget_369,137.76,245.29,2782
widget_370,32.39,47.56,3490
widget_371,89.12,154.88,465
widget_372,15.03,30.73,1836
widget_373,143.08,239.85,4960
widget_374,30.51,47.09,4772
widget_375,133.01,170.82,992
widget_376,63.46,104.64,1131
widget_377,45.98,55.62,3031
widget_378,40.36,77.47,4074
widget_379,56.64,105.62,2178
widget_380,54.41,132.64,2958
widget_381,86.72,127.43,3358
widget_382,129.69,164.2,4502
widget_383,66.59,110.11,2375
widget_384,102.98,181.59,2517
widget_385,19.44,34.98,4180
widget_386,136.76,294.21,1835
widget_387,94.33,228.08,1456
widget_388,24.36,52.45,1643
widget_389,38.84,96.9,3430
widget_390,28.77,70.26,3099
widget_391,48.43,82.91,2732
widget_392,20.4,50.9,1888
widget_393,99.04,239.88,3215
widget_394,142.11,327.43,1573
widget_395,82.32,175.18,4001
widget_396,74.27,126.62,3397
widget_397,148.56,228.77,3047
widget_398,129.6,205.64,3495
widget_399,23.86,35.17,4997
widget_400,10.34,19.16,2702
widget_401,47.13,61.22,4227
widget_402,14.81,21.34,1968
widget_403,53.4,69.28,1119
widget_404,89.68,137.02,4057
widget_405,78.18,165.82,2921
widget_406,70.1,105.04,1598
widget_407,47.69,114.86,3539
widget_408,42.14,98.68,2372
widget_409,139.77,210.56,4365
widget_410,133.19,253.85,651
widget_411,104.81,167.56,2819
widget_412,26.69,41.74,4829
widget_413,88.3,197.85,2954
widget_414,22.97,53.89,3208
widget_415,72.35,152.89,328
widget_416,7.17,9.4,4841
widget_417,20.25,24.95,1006
widget_418,53.48,102.93,4320
widget_419,100.65,166.35,1291
widget_420,60.32,75.24,659
widget_421,61.55,78.69,4259
widget_422,52.17,91.6,1110
widget_423,118.76,294.93,1474
widget_424,21.46,34.42,200
widget_425,138.8,269.69,1830
widget_426,5.57,10.58,3923
widget_427,55.53,116.63,2068
widget_428,81.56,133.7,3946
widget_429,131.21,163.99,4191
widget_430,130.52,224.9,4088
widget_431,10.62,23.56,1779
widget_432,115.64,213.95,407
widget_433,92.66,132.88,836
widget_434,110.38,144.4,931
widget_435,72.86,111.71,3970
widget_436,76.44,167.8,3088
widget_437,88.55,202.02,3455
widget_438,60.73,131.35,1479
widget_439,32.67,61.84,3840
widget_440,90.83,134.58,2236
widget_441,91.95,171.06,1820
widget_442,139.18,288.58,1176
widget_443,39.02,89.31,4131
widget_444,111.39,256.42,3247
widget_445,18.88,30.1,2960
widget_446,38.99,80.95,3149
widget_447,136.93,282.58,1419
